k,t,r
1,0.433426,0.031623,0.000000
2,0.982008,0.031623,0.020000
3,1.385769,0.031623,0.020000
4,1.923570,0.031623,0.033333
5,2.334292,0.031623,0.033333
6,2.865972,0.031623,0.046667
7,3.268630,0.031623,0.046667
8,3.812064,0.031623,0.060000
9,4.226674,0.031623,0.060000
10,4.756499,0.031623,0.073333
11,5.160396,0.031623,0.073333
12,5.702874,0.031622,0.086665
13,6.110772,0.031621,0.086665
14,6.643639,0.031618,0.099987
15,7.045051,0.031615,0.099987
16,7.576238,0.031610,0.113286
17,7.979051,0.031603,0.113286
18,8.531004,0.031596,0.126549
19,8.925642,0.031586,0.126549
20,9.467885,0.031575,0.139760
21,9.871619,0.031560,0.139760
22,10.410188,0.031540,0.152874
23,10.814470,0.031514,0.152874
24,11.347781,0.031478,0.165779
25,11.753079,0.031431,0.165779
26,12.293095,0.031373,0.178300
27,12.697225,0.031305,0.178300
28,13.249514,0.031228,0.190298
29,13.656106,0.031143,0.190298
30,14.192474,0.031050,0.201716
31,14.602306,0.030947,0.201716
32,15.160139,0.030830,0.212503
33,15.564986,0.030694,0.212503
34,16.102241,0.030532,0.222363
35,16.507112,0.030347,0.222363
36,17.043823,0.030151,0.231038
37,17.447067,0.029962,0.231038
38,17.990177,0.029790,0.239180
39,18.397842,0.029633,0.239180
40,18.933721,0.029470,0.247370
41,19.340170,0.029272,0.247370
42,19.878572,0.029016,0.254171
43,20.282557,0.028712,0.254171
44,20.819937,0.028390,0.258321
45,21.221328,0.028062,0.258321
46,21.759002,0.027722,0.261006
47,22.159571,0.027357,0.261006
48,22.692560,0.026950,0.261822
49,23.097290,0.026514,0.261822
50,23.634553,0.026083,0.260238
51,24.033686,0.025650,0.260238
52,24.567358,0.025185,0.257454
53,24.967336,0.024676,0.257454
54,25.497835,0.024120,0.251507
55,25.899715,0.023545,0.251507
56,26.437765,0.022979,0.242954
57,26.839923,0.022410,0.242954
58,27.380157,0.021792,0.233073
59,27.780977,0.021136,0.233073
60,28.320892,0.020459,0.219501
61,28.722750,0.019741,0.219501
62,29.261018,0.018975,0.202239
63,29.663023,0.018166,0.202239
64,30.200543,0.017384,0.181771
65,30.606713,0.016671,0.181771
66,31.139274,0.015958,0.162780
67,31.543697,0.015193,0.162780
68,32.076571,0.014389,0.141737
69,32.479168,0.013515,0.141737
70,33.013740,0.012672,0.117520
71,33.418546,0.011902,0.117520
72,33.956967,0.011156,0.095068
73,34.364102,0.010471,0.095068
74,34.915224,0.009820,0.076267
75,35.314319,0.009148,0.076267
76,35.846355,0.008519,0.059765
77,36.250054,0.007981,0.059765
78,36.781354,0.007499,0.046924
79,37.185087,0.007025,0.046924
80,37.733730,0.006568,0.036478
81,38.137142,0.006137,0.036478
82,38.676353,0.005724,0.027616
83,39.080262,0.005290,0.027616
84,39.623218,0.004868,0.019663
85,40.025794,0.004497,0.019663
86,40.563685,0.004154,0.013258
87,40.967316,0.003840,0.013258
88,41.495597,0.003574,0.008833
89,41.901045,0.003377,0.008833
90,42.437022,0.003202,0.006511
91,42.846160,0.002958,0.006511
92,43.383006,0.002614,0.004195
93,43.784775,0.002308,0.004195
94,44.314905,0.002080,0.001552
95,44.719404,0.001869,0.001552
96,45.260869,0.001712,0.000008
97,45.669448,0.001594,0.000008
98,46.207405,0.001492,0.000604
99,46.609650,0.001386,0.000604
100,47.145163,0.001279,0.000765
101,47.556361,0.001158,0.000765
102,48.088187,0.001055,0.000891
103,48.494522,0.000974,0.000891
104,49.022571,0.000880,0.000940
105,49.423509,0.000753,0.000940
106,49.960357,0.000640,0.001092
107,50.369561,0.000599,0.001092
108,50.909113,0.000603,0.001095
109,51.309571,0.000601,0.001095
110,51.855921,0.000585,0.000863
111,52.256645,0.000562,0.000863
112,52.805247,0.000542,0.000578
113,53.206726,0.000528,0.000578
114,53.746753,0.000520,0.000321
115,54.145153,0.000512,0.000321
116,54.672787,0.000490,0.000140
117,55.072873,0.000422,0.000140
118,55.619707,0.000292,0.000156
119,56.018428,0.000153,0.000156
120,56.552626,0.000135,0.000295
121,56.958135,0.000196,0.000295
122,57.495482,0.000228,0.000318
123,57.904470,0.000224,0.000318
124,58.450012,0.000202,0.000235
125,58.854324,0.000173,0.000235
126,59.387101,0.000147,0.000141
127,59.790040,0.000128,0.000141
128,60.330802,0.000115,0.000071
129,60.735323,0.000108,0.000071
130,61.284946,0.000104,0.000031
