k,t,r
1,0.430704,0.031623,0.000000
2,0.971864,0.031623,0.003000
3,1.375989,0.031623,0.003000
4,1.912344,0.031623,0.005000
5,2.314089,0.031623,0.005000
6,2.853243,0.031623,0.007000
7,3.257534,0.031623,0.007000
8,3.808202,0.031623,0.009000
9,4.211713,0.031623,0.009000
10,4.742922,0.031623,0.011000
11,5.145576,0.031623,0.011000
12,5.684791,0.031623,0.013000
13,6.097253,0.031623,0.013000
14,6.646751,0.031623,0.015000
15,7.050485,0.031623,0.015000
16,7.585117,0.031623,0.017000
17,7.989094,0.031623,0.017000
18,8.531534,0.031623,0.019000
19,8.935567,0.031623,0.019000
20,9.467650,0.031623,0.021000
21,9.871905,0.031623,0.021000
22,10.397941,0.031623,0.023000
23,10.804241,0.031623,0.023000
24,11.338869,0.031623,0.025000
25,11.743088,0.031623,0.025000
26,12.280738,0.031623,0.027000
27,12.685219,0.031623,0.027000
28,13.226632,0.031623,0.029000
29,13.633147,0.031623,0.029000
30,14.178283,0.031623,0.031000
31,14.587498,0.031623,0.031000
32,15.118253,0.031623,0.033000
33,15.521860,0.031623,0.033000
34,16.065396,0.031623,0.035000
35,16.465496,0.031623,0.035000
36,17.003181,0.031623,0.037000
37,17.407764,0.031623,0.037000
38,17.963443,0.031623,0.039000
39,18.361244,0.031623,0.039000
40,18.893659,0.031623,0.041000
41,19.294141,0.031623,0.041000
42,19.835208,0.031623,0.043000
43,20.238088,0.031623,0.043000
44,20.778097,0.031623,0.045000
45,21.187219,0.031623,0.045000
46,21.727948,0.031623,0.047000
47,22.132342,0.031623,0.047000
48,22.662798,0.031623,0.049000
49,23.068143,0.031623,0.049000
50,23.604492,0.031623,0.051000
51,24.009753,0.031623,0.051000
52,24.544663,0.031623,0.053000
53,24.955140,0.031623,0.053000
54,25.498377,0.031623,0.055000
55,25.905309,0.031623,0.055000
56,26.444353,0.031623,0.057000
57,26.848999,0.031623,0.057000
58,27.386810,0.031622,0.058999
59,27.792544,0.031622,0.058999
60,28.324766,0.031622,0.060999
61,28.728778,0.031622,0.060999
62,29.263283,0.031622,0.062998
63,29.667554,0.031622,0.062998
64,30.209571,0.031621,0.064997
65,30.617010,0.031621,0.064997
66,31.161106,0.031621,0.066996
67,31.564862,0.031620,0.066996
68,32.094567,0.031620,0.068994
69,32.499210,0.031620,0.068994
70,33.037661,0.031619,0.070992
71,33.441065,0.031618,0.070992
72,33.971267,0.031618,0.072989
73,34.374893,0.031617,0.072989
74,34.908274,0.031616,0.074985
75,35.314786,0.031615,0.074985
76,35.849711,0.031615,0.076980
77,36.251444,0.031614,0.076980
78,36.803253,0.031613,0.078975
79,37.203422,0.031612,0.078975
80,37.737791,0.031611,0.080968
81,38.145460,0.031610,0.080968
82,38.676658,0.031609,0.082960
83,39.079105,0.031608,0.082960
84,39.617693,0.031607,0.084952
85,40.024190,0.031606,0.084952
86,40.563245,0.031605,0.086943
87,40.977603,0.031604,0.086943
88,41.512220,0.031603,0.088933
89,41.912724,0.031602,0.088933
90,42.450343,0.031601,0.090923
91,42.858684,0.031600,0.090923
92,43.394043,0.031599,0.092912
93,43.797656,0.031599,0.092912
94,44.339511,0.031598,0.094901
95,44.750679,0.031597,0.094901
96,45.289957,0.031596,0.096890
97,45.693426,0.031595,0.096890
98,46.230937,0.031594,0.098879
99,46.636540,0.031593,0.098879
100,47.176448,0.031592,0.100867
101,47.578345,0.031592,0.100867
102,48.118440,0.031591,0.102857
103,48.515073,0.031590,0.102857
104,49.043619,0.031590,0.104846
105,49.445796,0.031589,0.104846
106,49.983223,0.031589,0.106836
107,50.395291,0.031588,0.106836
108,50.941852,0.031588,0.108827
109,51.344373,0.031587,0.108827
110,51.875615,0.031587,0.110818
111,52.278358,0.031586,0.110818
112,52.820197,0.031586,0.112808
113,53.227848,0.031585,0.112808
114,53.764979,0.031584,0.114798
115,54.170022,0.031583,0.114798
116,54.709509,0.031582,0.116785
117,55.113460,0.031580,0.116785
118,55.642421,0.031579,0.118769
119,56.052090,0.031577,0.118769
120,56.587812,0.031575,0.120748
121,56.991204,0.031572,0.120748
122,57.534965,0.031570,0.122722
123,57.941295,0.031567,0.122722
124,58.477688,0.031565,0.124692
125,58.891559,0.031562,0.124692
126,59.428625,0.031560,0.126658
127,59.831351,0.031558,0.126658
128,60.365548,0.031555,0.128623
129,60.774928,0.031553,0.128623
130,61.326408,0.031551,0.130586
131,61.726779,0.031549,0.130586
132,62.264694,0.031547,0.132548
133,62.663947,0.031545,0.132548
134,63.191952,0.031543,0.134510
135,63.592243,0.031541,0.134510
136,64.132526,0.031538,0.136471
137,64.536035,0.031536,0.136471
138,65.081758,0.031533,0.138426
139,65.485008,0.031529,0.138426
140,66.024542,0.031526,0.140374
141,66.433024,0.031521,0.140374
142,66.973766,0.031516,0.142311
143,67.385338,0.031511,0.142311
144,67.924489,0.031505,0.144234
145,68.333079,0.031499,0.144234
146,68.873199,0.031492,0.146144
147,69.271655,0.031485,0.146144
148,69.804510,0.031478,0.148039
149,70.213098,0.031471,0.148039
150,70.765354,0.031464,0.149920
151,71.172212,0.031456,0.149920
152,71.709574,0.031448,0.151786
153,72.123007,0.031440,0.151786
154,72.668569,0.031432,0.153641
155,73.072560,0.031424,0.153641
156,73.618566,0.031415,0.155489
157,74.026065,0.031407,0.155489
158,74.556485,0.031398,0.157336
159,74.959879,0.031389,0.157336
160,75.504943,0.031381,0.159185
161,75.913963,0.031373,0.159185
162,76.473597,0.031365,0.161041
163,76.882486,0.031358,0.161041
164,77.420896,0.031351,0.162908
165,77.822459,0.031344,0.162908
166,78.349482,0.031338,0.164789
167,78.752872,0.031331,0.164789
168,79.283600,0.031325,0.166682
169,79.687951,0.031318,0.166682
170,80.217529,0.031311,0.168576
171,80.619996,0.031304,0.168576
172,81.156743,0.031297,0.170461
173,81.562606,0.031290,0.170461
174,82.095950,0.031282,0.172339
175,82.498516,0.031275,0.172339
176,83.042423,0.031268,0.174203
177,83.441504,0.031260,0.174203
178,83.984758,0.031252,0.176046
179,84.387778,0.031242,0.176046
180,84.918916,0.031231,0.177845
181,85.328142,0.031216,0.177845
182,85.866357,0.031200,0.179572
183,86.272468,0.031181,0.179572
184,86.826581,0.031162,0.181235
185,87.233607,0.031142,0.181235
186,87.775407,0.031123,0.182860
187,88.182407,0.031104,0.182860
188,88.728212,0.031087,0.184483
189,89.149208,0.031072,0.184483
190,89.700587,0.031059,0.186145
191,90.103028,0.031046,0.186145
192,90.639050,0.031033,0.187855
193,91.039976,0.031021,0.187855
194,91.580613,0.031009,0.189608
195,91.984658,0.030998,0.189608
196,92.513535,0.030987,0.191397
197,92.915262,0.030977,0.191397
198,93.450015,0.030969,0.193208
199,93.846378,0.030960,0.193208
200,94.387810,0.030952,0.195024
201,94.789508,0.030942,0.195024
202,95.331725,0.030931,0.196804
203,95.740762,0.030918,0.196804
204,96.271326,0.030903,0.198516
205,96.677809,0.030885,0.198516
206,97.221138,0.030866,0.200143
207,97.624748,0.030845,0.200143
208,98.166655,0.030822,0.201688
209,98.563215,0.030798,0.201688
210,99.104566,0.030773,0.203167
211,99.505343,0.030747,0.203167
