k,t,r
1,2.184259,0.020000,0.000000
2,5.435158,0.019999,0.000003
3,7.600120,0.019993,0.000003
4,10.850657,0.019954,0.000298
5,13.014120,0.019752,0.000298
6,16.250832,0.019097,0.009709
7,18.419613,0.017876,0.009709
8,21.648081,0.016168,0.059340
9,23.821287,0.013742,0.059340
10,27.064238,0.010684,0.173950
11,29.236428,0.007510,0.173950
12,32.470287,0.004956,0.297164
13,34.638382,0.003053,0.297164
14,37.892433,0.001746,0.349619
15,40.067983,0.001059,0.349619
16,43.316212,0.000793,0.358757
17,45.488023,0.000555,0.358757
18,48.729127,0.000402,0.358493
19,50.887588,0.000293,0.358493
20,54.114884,0.000179,0.357134
21,56.297690,0.000151,0.357134
22,59.547254,0.000133,0.356181
23,61.706111,0.000119,0.356181
24,64.932428,0.000107,0.355517
25,67.097207,0.000095,0.355517
26,70.333835,0.000085,0.354959
27,72.506704,0.000076,0.354959
28,75.752306,0.000068,0.354515
29,77.913125,0.000062,0.354515
30,81.164671,0.000057,0.354183
31,83.325065,0.000053,0.354183
32,86.567378,0.000049,0.353919
33,88.736567,0.000046,0.353919
34,91.982244,0.000043,0.353702
35,94.144529,0.000040,0.353702
36,97.386120,0.000038,0.353518
37,99.557418,0.000036,0.353518
38,102.818587,0.000034,0.353358
39,104.987056,0.000032,0.353358
40,108.229033,0.000031,0.353223
41,110.386187,0.000029,0.353223
42,113.595755,0.000028,0.353102
43,115.755100,0.000026,0.353102
44,118.976263,0.000025,0.352995
45,121.140191,0.000024,0.352995
46,124.391728,0.000023,0.352900
47,126.547449,0.000022,0.352900
48,129.764798,0.000021,0.352816
49,131.926789,0.000020,0.352816
50,135.164788,0.000020,0.352738
51,137.332785,0.000019,0.352738
52,140.561548,0.000018,0.352668
53,142.714762,0.000018,0.352668
54,145.953528,0.000017,0.352604
55,148.119651,0.000016,0.352604
56,151.362674,0.000016,0.352546
57,153.541779,0.000015,0.352546
58,156.789079,0.000015,0.352492
59,158.975012,0.000015,0.352492
60,162.232804,0.000014,0.352439
61,164.411540,0.000014,0.352439
62,167.643201,0.000013,0.352392
63,169.810087,0.000013,0.352392
64,173.065287,0.000012,0.352345
65,175.237513,0.000012,0.352345
66,178.509903,0.000012,0.352305
67,180.686283,0.000012,0.352305
68,183.953130,0.000011,0.352267
69,186.127377,0.000011,0.352267
70,189.354609,0.000011,0.352232
71,191.512419,0.000010,0.352232
72,194.746746,0.000010,0.352197
73,196.909553,0.000010,0.352197
74,200.158367,0.000010,0.352165
75,202.328125,0.000010,0.352165
76,205.567012,0.000009,0.352136
77,207.741999,0.000009,0.352136
78,210.970411,0.000009,0.352108
79,213.128771,0.000009,0.352108
80,216.368967,0.000009,0.352081
81,218.521856,0.000008,0.352081
82,221.762360,0.000008,0.352054
83,223.921121,0.000008,0.352054
84,227.157771,0.000008,0.352028
85,229.314105,0.000008,0.352028
86,232.556106,0.000008,0.352003
87,234.740094,0.000008,0.352003
88,237.982166,0.000007,0.351981
89,240.158592,0.000007,0.351981
90,243.415848,0.000007,0.351960
91,245.573858,0.000007,0.351960
92,248.820264,0.000007,0.351938
93,250.988400,0.000007,0.351938
94,254.256734,0.000007,0.351918
95,256.436616,0.000006,0.351918
96,259.690089,0.000006,0.351898
97,261.854968,0.000006,0.351898
98,265.108790,0.000006,0.351880
99,267.281428,0.000006,0.351880
100,270.534725,0.000006,0.351862
101,272.726399,0.000006,0.351862
102,275.980847,0.000006,0.351845
103,278.141124,0.000006,0.351845
104,281.380029,0.000006,0.351828
105,283.549001,0.000005,0.351828
106,286.771507,0.000005,0.351811
107,288.935957,0.000005,0.351811
108,292.169496,0.000005,0.351796
109,294.340228,0.000005,0.351796
110,297.557302,0.000005,0.351781
111,299.729894,0.000005,0.351781
112,302.974456,0.000005,0.351767
113,305.126608,0.000005,0.351767
114,308.380375,0.000005,0.351752
115,310.547573,0.000005,0.351752
116,313.773976,0.000005,0.351739
117,315.929916,0.000005,0.351739
118,319.180101,0.000005,0.351725
119,321.345305,0.000005,0.351725
120,324.611586,0.000005,0.351714
121,326.785783,0.000004,0.351714
122,330.018732,0.000004,0.351701
123,332.189015,0.000004,0.351701
124,335.434722,0.000004,0.351689
125,337.602079,0.000004,0.351689
126,340.846464,0.000004,0.351678
127,343.027230,0.000004,0.351678
128,346.293284,0.000004,0.351667
129,348.469067,0.000004,0.351667
130,351.713872,0.000004,0.351655
131,353.892700,0.000004,0.351655
132,357.131337,0.000004,0.351644
133,359.318300,0.000004,0.351644
134,362.560158,0.000004,0.351633
135,364.732438,0.000004,0.351633
136,367.981851,0.000004,0.351623
137,370.160691,0.000004,0.351623
138,373.423857,0.000004,0.351614
